product_link,title,brand,marked_price,price,discount,avg_rating,total_ratings
https://www.flipkart.com/doctor-health-super-soft-newly-launch-classic-ultra-memory-foam-comfortable-stylish-trendy-bellies-women/p/itm3964abf0d7553?pid=SHOH7N79HJHGQFXQ&lid=LSTSHOH7N79HJHGQFXQYZXXMW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtuoHDDdmDsHYlWEmNT39DyeQ8rIC3qNHtMpSUB54aesgQ%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Newly Launch | Classic Ultra Soft | Memory Foam | Comfortable|Stylish|Trendy Bellies For Women,Doctor Health Super Soft ,2499,500,0.79,4.1,826
https://www.flipkart.com/asian-04-white-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itm508025c63da8f?pid=SHOGGGAUKHRQTFZG&lid=LSTSHOGGGAUKHRQTFZGAAVXYM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOGGGAUKHRQTFZG.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"04 White Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women",asian ,1499,824,0.45,4.1,23401
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm3d4242c7b6e52?pid=SHOHBEZ7H2HKF5YM&lid=LSTSHOHBEZ7H2HKF5YMLWL47X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOHBEZ7H2HKF5YM.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOMEN Walking Shoes For Women,SKITTER ,1899,597,0.68,4.1,386
https://www.flipkart.com/campus-ciara-women-s-sports-shoes-breathable-mesh-upper-cushioned-insole-lace-up-running-women/p/itm363ce53b5f21f?pid=SHOH4Y8FGFSUNM2A&lid=LSTSHOH4Y8FGFSUNM2AFMDFAK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOH4Y8FGFSUNM2A.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,CIARA Women's Sports Shoes | Breathable Mesh Upper & Cushioned Insole | Lace-Up Running Shoes For Women,CAMPUS ,1999,1142,0.42,4.4,5336
https://www.flipkart.com/fabbmate-trendy-memory-foam-walking-slip-sneakers-women/p/itmee786b78055fe?pid=SHOHE4KHVGG2GCZ6&lid=LSTSHOHE4KHVGG2GCZ6SSXKIH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtu02VE8Hc-eycfB5ukl8SnQPsrJX6xJyLxjDxYDNA_3LA%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Fabbmate Trendy Memory Foam Walking Slip On Sneakers For Women,Fabbmate ,799,360,0.54,4.1,1846
https://www.flipkart.com/world-wear-footwear-running-shoes-women/p/itmf9062b77f508c?pid=SHOGY96FDUAY6WRZ&lid=LSTSHOGY96FDUAY6WRZDWGYUM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtu3QGeULNlU3sQHq8aUFduxSeNtxV4g-5ddBRkeXq0ccw%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Running Shoes For Women,World Wear Footwear ,999,279,0.72,3.7,1554
https://www.flipkart.com/fabbmate-trendy-sports-walking-memory-foam-running-shoes-women/p/itm0d0338973c591?pid=SHOGKV8P7RCHGYW7&lid=LSTSHOGKV8P7RCHGYW7QE0170&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOGKV8P7RCHGYW7.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Trendy Sports Walking with Memory Foam Running Shoes For Women,Fabbmate ,799,357,0.55,4,139036
https://www.flipkart.com/farzo-premium-sports-shoes-women-slip-sneakers/p/itm0bab34415f32c?pid=SHOHGFU4YDYEZFFP&lid=LSTSHOHGFU4YDYEZFFPUG97JH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOHGFU4YDYEZFFP.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,FARZO Premium Sports Shoes for Women Slip On Sneakers For Women,farzo ,850,461,0.45,,
https://www.flipkart.com/mohliye-exclusive-range-stylish-comfortable-sports-sneakers-running-shoes-women/p/itmc457897757682?pid=SHOGCVBBFMHFTUG9&lid=LSTSHOGCVBBFMHFTUG9THOIUJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtsrC7rEOxxVE0LVk_sw3GCAURlzTYiIC5SL7rYz7fTzhg%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Exclusive Range of Stylish Comfortable Sports Sneakers Running Shoes Sneakers For Women,MOHLIYE ,749,294,0.6,3.8,1097
https://www.flipkart.com/puma-zod-runner-v3-wn-s-sneakers-women/p/itm136689c6812dd?pid=SHOFUFGRRTFVA5SM&lid=LSTSHOFUFGRRTFVA5SMUTKCEZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtuInbxp721iFqGlIoycSZZXyuuu0-wD0eV2c_3S3WyhT4E8waCTrWcncKeK_ydPfoM%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Zod Runner V3 Wn's Sneakers For Women,PUMA ,3999,1241,0.68,4.3,28738
