product_link,title,brand,marked_price,price,discount,avg_rating,total_ratings
https://www.flipkart.com/vokline-sports-shoes-running-shoes-trekking-shoes-gym-shoes-women-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKGPDZFUG63&lid=LSTSHOGBSKGPDZFUG63LH7I47&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLqR1-MGusCUV9antb9gfAi-stWqhTBEXl1HZ4eE7WNg0A%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"sports shoes,Running shoes,Trekking Shoes,gym shoes for women Outdoors For Women",Vokline ,999,360,0.63,4.1,147894
https://www.flipkart.com/doctor-health-super-soft-newly-launch-classic-ultra-memory-foam-comfortable-stylish-trendy-bellies-women/p/itm3964abf0d7553?pid=SHOH7N79HJHGQFXQ&lid=LSTSHOH7N79HJHGQFXQYZXXMW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_52&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLoUsHlngPjLvLngJlkguRjiQJP3B8d5U_2STWw46rb-TA%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Newly Launch | Classic Ultra Soft | Memory Foam | Comfortable|Stylish|Trendy Bellies For Women,Doctor Health Super Soft ,2499,500,0.79,4.1,826
https://www.flipkart.com/asian-firefly-09-navy-gym-sports-walking-stylish-running-shoes-women/p/itm0ca2235634b47?pid=SHOGN9YDKFFK7YYW&lid=LSTSHOGN9YDKFFK7YYWGZAP8U&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_54&otracker=search&otracker1=search&fm=Search&iid=fe476444-8a3f-4082-a298-6339d6c7d231.SHOGN9YDKFFK7YYW.SEARCH&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"Firefly-09 Navy Gym,Sports,Walking,Stylish Running Shoes For Women",asian ,1499,832,0.44,4.2,18486
https://www.flipkart.com/fabbmate-trendy-memory-foam-walking-slip-sneakers-women/p/itmee786b78055fe?pid=SHOHE4KHVGG2GCZ6&lid=LSTSHOHE4KHVGG2GCZ6SSXKIH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_57&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLobv2tnpPGSE30Qxr1UmxPxDH5aQryi3lyaSCHaAnK5Dg%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Fabbmate Trendy Memory Foam Walking Slip On Sneakers For Women,Fabbmate ,799,360,0.54,4.1,1846
https://www.flipkart.com/world-wear-footwear-running-shoes-women/p/itmf9062b77f508c?pid=SHOGY96FDUAY6WRZ&lid=LSTSHOGY96FDUAY6WRZDWGYUM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_61&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLpxE3EXcBba7iRJmpdMBZn8W2VxdYYCWetXzrH5KuQNpQ%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Running Shoes For Women,World Wear Footwear ,999,279,0.72,3.7,1554
https://www.flipkart.com/mohliye-exclusive-range-stylish-comfortable-sports-sneakers-running-shoes-women/p/itmc457897757682?pid=SHOGCVBBFMHFTUG9&lid=LSTSHOGCVBBFMHFTUG9THOIUJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_62&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLoUOX2BV32EsKZjxAsPWlOOgCyQHhaoxrdaskSGcTn3tw%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Exclusive Range of Stylish Comfortable Sports Sneakers Running Shoes Sneakers For Women,MOHLIYE ,749,294,0.6,3.8,1097
https://www.flipkart.com/asian-firefly-09-pink-gym-sports-walking-stylish-running-shoes-women/p/itm4dc81f11ffa49?pid=SHOGN9YDQTTVJKHK&lid=LSTSHOGN9YDQTTVJKHK3GP8MU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_63&otracker=search&otracker1=search&fm=Search&iid=fe476444-8a3f-4082-a298-6339d6c7d231.SHOGN9YDQTTVJKHK.SEARCH&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"Firefly-09 Pink Gym,Sports,Walking,Stylish Running Shoes For Women",asian ,1499,832,0.44,4.2,18486
https://www.flipkart.com/asian-firefly-10-pink-sports-training-gym-walking-stylish-walking-shoes-women/p/itm47a04e96fe263?pid=SHOGHHFGM7NNNAQD&lid=LSTSHOGHHFGM7NNNAQD6QXMXV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_64&otracker=search&otracker1=search&fm=Search&iid=fe476444-8a3f-4082-a298-6339d6c7d231.SHOGHHFGM7NNNAQD.SEARCH&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"Firefly-10 Pink Sports,Training,Gym,Walking,Stylish Walking Shoes For Women",asian ,1499,832,0.44,4.2,11862
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm814059bda311c?pid=SHOH5GCYUZEXCGGC&lid=LSTSHOH5GCYUZEXCGGCBH0CNQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_66&otracker=search&otracker1=search&fm=Search&iid=fe476444-8a3f-4082-a298-6339d6c7d231.SHOH5GCYUZEXCGGC.SEARCH&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox ,999,389,0.61,3.7,2040
https://www.flipkart.com/puma-zod-runner-v3-wn-s-sneakers-women/p/itm136689c6812dd?pid=SHOFUFGRRTFVA5SM&lid=LSTSHOFUFGRRTFVA5SMUTKCEZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_67&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLqtnnNipyHH6knD4rd_VzwrjBBOC_NhtFBz6uHNfz0UQE4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Zod Runner V3 Wn's Sneakers For Women,PUMA ,3999,1241,0.68,4.3,28738
https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-walking-women/p/itmbff30f0c0f356?pid=SHOHFK4BAFMRZ4MJ&lid=LSTSHOHFK4BAFMRZ4MJB8PEBS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_68&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLp31rfQh67MCOgYouaf4ckVQXkoDKGhIzb0KSDYzmhIExhTy0lUJ14SzoMSv_CzLF0%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"Bersache Premium Sports ,Gym, Trending Stylish Running Shoes Walking Shoes For Women",BERSACHE ,1999,536,0.73,3.9,2605
https://www.flipkart.com/shozie-stylish-shoes-sneakers-casual-sports-gym-walking-women/p/itme56395b9ba216?pid=SHOHH9NQTFESXWMS&lid=LSTSHOHH9NQTFESXWMSALHQ4A&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_71&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLqO9_Snb2B3JiZGPpKttbykRw7-hER4L3RghOJzJjbKbQ%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Stylish Shoes Sneakers Casual Sports Gym Shoes Walking Shoes For Women,Shozie ,999,445,0.55,4.2,13
